A$AP Rocky
Adam Driver
Adam Sandler
Alanis Morissette
Alicia Keys
Amber Heard
Amy Adams
Amy Poehler
Ana de Armas
Andrea Bocelli
Andrew Garfield
Angelina Jolie
Anitta
Anne Hathaway
Anthony Hopkins
Anthony Mackie
Anya Taylor-Joy
Ariana Grande
Austin Butler
Ava Max
Avril Lavigne
Awkwafina
BTS (as a group)
Bad Bunny
Becky G
Ben Affleck
Ben Stiller
Benedict Cumberbatch
Benedict Wong
Beyoncé
Bill Skarsgård
Billie Eilish
Bob Odenkirk
Brad Pitt
Brendan Fraser
Brie Larson
Bruno Mars
Bryan Cranston
Bryson Tiller
Burna Boy
Caleb McLaughlin
Calvin Harris
Camila Cabello
Cardi B
Carey Mulligan
Cate Blanchett
Celine Dion
Charlie Puth
Charlize Theron
Chiwetel Ejiofor
Chlöe Bailey
Chris Brown
Chris Evans
Chris Hemsworth
Chris Pratt
Christian Bale
Christina Ricci
Cillian Murphy
Claire Danes
Coco Gauff
Conan Gray
DJ Khaled
Daddy Yankee
Daisy Ridley
Dakota Johnson
Danai Gurira
Daniel Craig
Daniel Kaluuya
Daniel Radcliffe
David Harbour
Deepika Padukone
Demi Lovato
Denzel Washington
Dev Patel
Doja Cat
Don Cheadle
Drake
Dua Lipa
Dwayne Johnson
Dwayne “The Rock” Johnson
Ed Sheeran
Eddie Redmayne
Elisabeth Moss
Elizabeth Olsen
Ellie Goulding
Emilia Clarke
Emily Blunt
Eminem
Emma Stone
Emma Watson
Eva Green
Ewan McGregor
Finn Wolfhard
Flo Rida
Florence Pugh
Future
G-Dragon
Gal Gadot
Gary Oldman
Gaten Matarazzo
Gemma Chan
George Clooney
Giancarlo Esposito
Giannis Antetokounmpo
Hailee Steinfeld
Hailey Bieber
Haley Joel Osment
Halle Bailey
Halle Berry
Halsey
Harrison Ford
Harry Styles
Helena Bonham Carter
Henry Cavill
Hugh Jackman
Ian McKellen
Ice Spice
Idris Elba
Iggy Azalea
J-Hope (BTS)
Jack Harlow
Jada Pinkett Smith
Jake Gyllenhaal
Jamie Foxx
Jamie Lee Curtis
Janelle Monáe
Jared Leto
Jason Bateman
Jason Derulo
Jason Momoa
Jay-Z
Jenna Fischer
Jenna Ortega
Jennie (BLACKPINK)
Jennifer Aniston
Jennifer Connelly
Jennifer Lawrence
Jennifer Lopez
Jeremy Renner
Jessica Alba
Jessica Chastain
Jimin (BTS)
Jin (BTS)
Jisoo (BLACKPINK)
Jodie Foster
Joe Keery
John Krasinski
John Legend
Johnny Depp
Jon Hamm
Jonas Brothers
Jordin Sparks
Josh Brolin
Juice WRLD
Julia Roberts
Jung Ho-yeon
Jungkook (BTS)
Justin Bieber
Justin Timberlake
Kanye West
Karen Gillan
Karol G
Kate Winslet
Katy Perry
Keanu Reeves
Keira Knightley
Keke Palmer
Kelly Clarkson
Kendall Jenner
Kendrick Lamar
Kerry Washington
Khalid
Kid Cudi
Kim Petras
Kirsten Dunst
Kit Harington
Kristen Bell
Kristen Stewart
Kylian Mbappé
Kylie Jenner
Lady Gaga
Lana Del Rey
Lee Jung-jae
Lee Min-ho
Lena Headey
Leona Lewis
Leonardo DiCaprio
Letitia Wright
Lil Nas X
Lil Wayne
Lily Collins
Lisa (BLACKPINK)
Lizzo
Logic
Lucy Liu
Luis Fonsi
Lupita Nyong’o
Machine Gun Kelly
Macklemore
Mads Mikkelsen
Mahershala Ali
Maisie Williams
Maluma
Margot Robbie
Mariah Carey
Mark Wahlberg
Matt Damon
Maya Hawke
Megan Fox
Megan Thee Stallion
Melissa McCarthy
Meryl Streep
Michael B. Jordan
Michael Bublé
Michael Fassbender
Michelle Yeoh
Miley Cyrus
Millie Bobby Brown
Mindy Kaling
Monica Bellucci
Morgan Freeman
Nas
Natalia Dyer
Natalie Dormer
Natalie Portman
Ne-Yo
Nelly
Niall Horan
Nicki Minaj
Nicole Kidman
Nikolaj Coster-Waldau
Noah Schnapp
Norah Jones
Normani
Olivia Rodrigo
Oscar Isaac
Owen Wilson
Ozuna
P!nk
Park Seo-jun
Patrick Mahomes
Paul Bettany
Paul Rudd
Pedro Pascal
Penélope Cruz
Peter Dinklage
Pharrell Williams
Pitbull
Post Malone
Priyanka Chopra
RM (BTS)
Rachel McAdams
Rami Malek
Rebel Wilson
Reese Witherspoon
Rihanna
Robert De Niro
Robert Downey Jr.
Robin Wright
Rosalía
Rosé (BLACKPINK)
Rupert Grint
Ryan Gosling
Ryan Reynolds
SZA
Salma Hayek
Sam Smith
Samuel L. Jackson
Sandra Bullock
Sandra Oh
Scarlett Johansson
Sebastian Stan
Selena Gomez
Shakira
Shawn Mendes
Sia
Simu Liu
Snoop Dogg
Song Hye-kyo
Sophie Turner
Stephen Curry
Steve Carell
Suga (BTS)
Summer Walker
T-Pain
TINI
Tate McRae
Tessa Thompson
Thandiwe Newton
The Weeknd
Timothée Chalamet
Tobey Maguire
Tom Cruise
Tom Hank
Tom Hardy
Tom Hiddleston
Tom Holland
Toni Collette
Travis Scott
Troye Sivan
Tyler the Creator
Tyson Fury
Usher
V (BTS)
Vin Diesel
Viola Davis
Will Smith
Willem Dafoe
Winona Ryder
Wiz Khalifa
Wizkid
Zac Efron
Zayn Malik
Zendaya
Zoe Kravitz
Zoe Saldana
