word,category
Abacus,hard
Abandoned,hard
Abyss,hard
Acacia,hard
Accessory,easy
Accolade,hard
Accordion,hard
Accountant,hard
Acorn,hard
Acrobat,hard
Actor,hard
Acumen,hard
Adamant,hard
Admiral,hard
Adrift,hard
Adventure,easy
Advocate,easy
Aegis,hard
Aeon,hard
Affliction,hard
Africa,easy
Agony,hard
Ailment,hard
Airport,easy
Alarm,easy
Albatross,hard
Alchemist,hard
Alchemy,hard
Alcohol,easy
Algorithm,hard
Alias,hard
Alien,hard
Allegory,hard
Alley,hard
Alliance,easy
Alligator,hard
Alloy,hard
Almanac,hard
Almond,hard
Altitude,hard
Amber,hard
Ambulance,easy
Ambush,hard
America,easy
Amethyst,hard
Ammo,easy
Amnesia,hard
Anarchy,hard
Anchor,hard
Ancient,hard
Android,hard
Anecdote,hard
Angel,easy
Angry,hard
Animal,easy
Ankle,hard
Anomaly,hard
Ant,hard
Antarctica,easy
Anthem,hard
Antiquity,easy
Anvil,hard
Apparatus,hard
Apparition,hard
Appetite,easy
Apple,easy
Apprentice,easy
Apron,easy
Aqueduct,hard
Archaeology,easy
Archer,hard
Archery,hard
Archetype,hard
Architecture,easy
Archive,hard
Ardent,hard
Arena,hard
Arid,hard
Arm,easy
Armadillo,hard
Armor,easy
Arrow,easy
Art,hard
Artisan,hard
Artist,hard
Ascetic,hard
Ash,hard
Asia,easy
Assassin,easy
Asset,easy
Asteroid,hard
Astronaut,easy
Astute,hard
Atoll,hard
Atom,hard
Atrium,hard
Atrophy,hard
Attack,easy
Attic,hard
Attraction,easy
Auction,hard
Audacity,hard
Augment,hard
Austere,hard
Autumn,easy
Avalanche,hard
Avarice,hard
Avocado,hard
Award,easy
Axe,easy
Axiom,hard
Baby,easy
Bacon,hard
Bacteria,hard
Badge,hard
Badger,hard
Badminton,hard
Bag,easy
Bagel,hard
Baker,hard
Bakery,easy
Balance,easy
Balcony,easy
Ball,easy
Ballast,hard
Balloon,hard
Ballroom,easy
Bamboo,hard
Banana,easy
Band,easy
Bang,easy
Banjo,hard
Bank,easy
Banner,hard
Banquet,hard
Banshee,hard
Bar,easy
Barber,hard
Bard,hard
Bark,easy
Barn,easy
Barracks,easy
Barren,hard
Barricade,hard
Basalt,hard
Base,easy
Basement,easy
Basil,hard
Basin,hard
Basket,easy
Basketball,hard
Bath,easy
Battery,easy
Battle,hard
Bay,easy
Beach,easy
Beacon,hard
Bean,hard
Bear,easy
Beard,easy
Beast,easy
Beaver,hard
Bed,easy
Bedroom,easy
Bee,hard
Beef,easy
Beer,easy
Beet,hard
Beetle,hard
Belfry,hard
Belgium,easy
Bell,easy
Bellows,hard
Belt,easy
Bench,easy
Berry,easy
Big,easy
Bike,easy
Bill,easy
Billiards,hard
Bin,easy
Birch,hard
Bird,easy
Birthday,easy
Bison,hard
Bite,easy
Bitter,hard
Black,easy
Blackberry,hard
Blacksmith,hard
Blade,easy
Blanket,easy
Blessed,hard
Bliss,hard
Blizzard,hard
Blond,easy
Blood,easy
Bloom,hard
Blossom,hard
Blue,easy
Blueberry,hard
Blueprint,hard
Blues,hard
Bluff,hard
Board,easy
Boat,easy
Body,easy
Boisterous,hard
Bold,hard
Bolster,hard
Bolt,hard
Bomb,easy
Bone,easy
Book,easy
Boom,hard
Boot,easy
Border,easy
Boss,easy
Bottle,easy
Bottom,easy
Bouncy,hard
Bouquet,easy
Bow,hard
Bowl,easy
Bowling,hard
Box,easy
Boxing,easy
Bracelet,easy
Brain,easy
Branch,easy
Bravado,hard
Brave,hard
Bread,easy
Brick,easy
Bridge,easy
Bright,hard
Brine,hard
Brisk,hard
Broccoli,hard
Broken,hard
Bronze,easy
Broom,easy
Brother,easy
Brown,easy
Brownie,hard
Brush,easy
Bubble,easy
Buccaneer,hard
Bucket,easy
Buckle,easy
Buffalo,hard
Bug,easy
Building,easy
Bulb,easy
Bulwark,hard
Bump,easy
Bunker,hard
Burger,hard
Burning,hard
Burrito,hard
Burrow,hard
Bus,easy
Business,easy
Butcher,easy
Butter,hard
Buttercup,hard
Butterfly,easy
Button,easy
Buzz,hard
Cabbage,easy
Cabin,easy
Cable,easy
Cactus,easy
Cafe,hard
Cage,easy
Cairn,hard
Cake,easy
Calculator,hard
Calendar,easy
Calm,hard
Camel,hard
Camera,easy
Camouflage,easy
Camp,easy
Campaign,hard
Canal,easy
Canary,hard
Candle,easy
Candy,easy
Cane,easy
Cannon,easy
Canopy,hard
Cantina,easy
Canvas,easy
Canyon,hard
Cape,hard
Capital,easy
Capsule,hard
Captain,easy
Capybara,hard
Car,easy
Caramel,hard
Card,easy
Cardinal,hard
Career,easy
Carnival,hard
Carpenter,hard
Carpet,easy
Carrot,easy
Carton,easy
Cascade,hard
Case,easy
Casino,easy
Castle,easy
Cat,easy
Catacomb,hard
Catalyst,hard
Catapult,hard
Caterpillar,easy
Cathedral,hard
Causeway,hard
Cavalry,easy
Cave,easy
Cavern,easy
Cavity,hard
Cedar,hard
Celery,hard
Celestial,hard
Cell,easy
Cellar,hard
Cello,hard
Cemetery,easy
Centaur,hard
Cereal,easy
Cerebral,hard
Ceremony,hard
Chain,easy
Chair,easy
Chalk,hard
