category,word
Brands and Companies,Chanel
Brands and Companies,Coca-Cola
Brands and Companies,Dell
Brands and Companies,Disney
Brands and Companies,Facebook (Meta)
Brands and Companies,Google
Brands and Companies,H&M
Brands and Companies,HP
Brands and Companies,Honda
Brands and Companies,Huawei
Brands and Companies,IBM
Brands and Companies,IKEA
Brands and Companies,Intel
Brands and Companies,L'Oréal
Brands and Companies,LG
Brands and Companies,Mastercard
Brands and Companies,McDonald’s
Brands and Companies,Mercedes-Benz
Brands and Companies,Microsoft
Brands and Companies,Nestlé
Brands and Companies,Netflix
Brands and Companies,Nike
Brands and Companies,Nintendo
Brands and Companies,Oracle
Brands and Companies,PayPal
Brands and Companies,Pepsi
Brands and Companies,Puma
Brands and Companies,Red Bull
Brands and Companies,Reebok
Brands and Companies,Rolex
Brands and Companies,Salesforce
Brands and Companies,Samsung
Brands and Companies,Shell
Brands and Companies,Sony
Brands and Companies,Spotify
Brands and Companies,Starbucks
Brands and Companies,Tesla
Brands and Companies,TikTok (ByteDance)
Brands and Companies,Toyota
Brands and Companies,Uber
Brands and Companies,Uniqlo
Brands and Companies,Visa
Brands and Companies,Xiaomi
Brands and Companies,Zara
Brands and Companies,Zoom
Fictional Characters,Darth Vader
Fictional Characters,Deadpool
Fictional Characters,Donkey Kong
Fictional Characters,Dracula
Fictional Characters,Draculaura (Monster High)
Fictional Characters,Elsa (Frozen)
Fictional Characters,Frodo Baggins
Fictional Characters,Gandalf
Fictional Characters,Goku
Fictional Characters,Harry Potter
Fictional Characters,Hermione Granger
Fictional Characters,Homer Simpson
Fictional Characters,Iron Man
Fictional Characters,James Bond
Fictional Characters,Joker
Fictional Characters,Katniss Everdeen
Fictional Characters,Kratos (God of War)
Fictional Characters,Lara Croft
Fictional Characters,Link (Legend of Zelda)
Fictional Characters,Luffy (One Piece)
Fictional Characters,Luke Skywalker
Fictional Characters,Mario
Fictional Characters,Master Chief (Halo)
Fictional Characters,Megatron
Fictional Characters,Morty (Rick and Morty)
Fictional Characters,Naruto Uzumaki
Fictional Characters,Optimus Prime
Fictional Characters,Pikachu
Fictional Characters,Rick (Rick and Morty)
Fictional Characters,Scooby-Doo
Fictional Characters,Sherlock Holmes
Fictional Characters,Shrek
Fictional Characters,Simba (The Lion King)
Fictional Characters,Sonic the Hedgehog
Fictional Characters,Spider-Man
Fictional Characters,Spongebob Squarepants
Fictional Characters,Superman
Fictional Characters,Vegeta
Fictional Characters,Voldemort
Fictional Characters,Winnie the Pooh
Fictional Characters,Wolverine
Fictional Characters,Wonder Woman
Fictional Characters,Woody (Toy Story)
Fictional Characters,Yoda
Fictional Characters,Zelda
Food and Drink,Cappuccino
Food and Drink,Chicken wings
Food and Drink,Coconut water
Food and Drink,Coffee
Food and Drink,Cola
Food and Drink,Curry
Food and Drink,Dumplings
Food and Drink,Energy drink
Food and Drink,Espresso
Food and Drink,Falafel
Food and Drink,Fish and chips
Food and Drink,Fried rice
Food and Drink,Green tea
Food and Drink,Grilled cheese
Food and Drink,Hot chocolate
Food and Drink,Hot dog
Food and Drink,Iced tea
Food and Drink,Kombucha
Food and Drink,Lasagna
Food and Drink,Latte
Food and Drink,Lemonade
