category,word
General,Actors and Actresses
General,Animated Characters
General,Annoying habits
General,At a wedding
General,At the beach
General,Bad places to fart
General,Birthday gifts
General,Blue things
General,Board games
General,Body parts and organs
General,Breakfast Foods
General,Breakfast food
General,Camping Gear
General,Candy Brands
General,Capital Cities
General,Car Brands
General,Card Games
General,Careers and professions
General,Cartoon Characters
General,Celebrity Names
General,Christmas Songs
General,Cities
General,Cleaning Products
General,Clothing and accessories
General,Compliments you give someone
General,Countries
General,Desserts
General,Disney Movies
General,Disney characters
General,Drinks
General,Drinks (non-alcoholic)
General,Elements on the Periodic Table
General,English female names
General,English male names
General,Extreme Sports
General,Famous Authors
General,Famous Bridges
General,Famous Landmarks
General,Famous people
General,Fast Food Chains
General,Fictional Villains
General,Fictional characters
General,Fish
General,Flowers
General,Found at a bar
General,Fruits
General,Green things
General,Halloween Costumes
General,Historical Figures
General,Hobbies
General,Hobbies that use your hands
General,Household Chores
General,In the jungle
General,Insects
General,Inventions
General,Items found at a picnic
General,Items in a Bathroom
General,Items that come in pairs
General,Items you can buy at a hardware store
General,Jobs
General,Land marks & monuments
General,Languages
General,Martial Arts
General,Marvel characters
General,Math terms
General,Modes of Transport
General,Mountains and Rivers
General,Movie Titles
General,Movies and TV Shows
General,Musicians or Bands
General,Natural Disasters
General,Netflix Originals
General,Office Items
General,Office supplies
General,Olympic Sports
General,Outer space
General,Pink things
General,Pokémon
General,Politicians
General,Professions with Uniforms
General,Reality Show Stars
General,Red things
General,Restaurants
General,Road Trip Essentials
General,School Supplies
General,School subjects and courses
General,Singers
General,Something cold
General,Something flat
General,Something hard
General,Something hot
General,Something round
General,Something tall
General,Something wet
General,Song titles
General,Spices or Herbs
General,Sports & Recreational activities
General,Sports Teams
General,Spring Cleaning Items
General,Store names
General,Summer Foods
General,Superheroes
General,TV Shows
General,Tech Brands
General,Things Found in a Kitchen
General,Things Found in the Ocean
General,Things Grandparents Like
General,Things Kids Say
General,Things You Do on New Year’s Eve
General,Things You Score Points In
General,Things You See at a Parade
General,Things You Wear
General,Things a Teacher Might Say
General,Things at a Birthday Party
General,Things at a party
General,Things at the Airport
General,Things babies do
General,Things found at a party
General,Things found in a garage
General,Things in a backpack
General,Things in a purse
General,Things in your refrigerator
General,Things made of wood
General,Things related to history
General,Things sold at IKEA
General,Things that are cold
General,Things that are hot
General,Things that are sticky
General,Things that float
General,Things that make you laugh
General,Things that sink
General,Things with wheels
General,Things you can find at school
General,Things you can find at the office
General,Things you keep in a drawer
General,Things you keep in a wallet
General,Things you plug in
General,Things you recycle
General,Things you wear on your feet
General,Things you write with
General,Things you’re afraid of
General,Tools
General,Traditions from Other Cultures
General,Traffic Signs
General,Travel Destinations
General,Types of Bikes
General,Types of Birds
General,Types of Boats
General,Types of Cheese
General,Types of Dance
General,Types of Doctors
General,Types of Trees
General,Types of emotions
General,Valentine’s Day Gifts
General,Vegetables
General,Video Game Titles
General,Ways to say hello
General,Weapons
General,Weather Terms
General,Weekend activities
General,Winter Activities
General,Yellow things
General,YouTube channels
General,Your colleagues
