Alligator hiss
Ant marching
Avalanche rumble
Babbling brook
Bear growl
Beaver slapping tail
Bee buzz
Bird of prey screech
Bird wings flapping
Birds chirping
Bison stampede
Branch snapping
Breeze
Buffalo snort
Bullfrog ribbit
Butterfly wings
Cactus wren call
Camel grunt
Canyon wind
Cat hiss
Cat purr
Cattle lowing
Chameleon tongue snap
Cheetah chirp
Cicada drone
Clam shell closing
Coconut falling
Coral reef bubbles
Cougar snarl
Coyote howl
Crackling (fire)
Cricket chirp
Crow caw
Deer snort
Desert wind
Dew dripping
Distant echo in canyon
Dog bark
Dog howl
Dolphin click
Donkey bray
Dragonfly buzz
Duck quack
Eagle screech
Earth rumble
Elephant trumpet
Elk bugle
Falcon dive
Falling tree
Fire crackle
Firefly flash
Flash flood
Fly buzzing
Footsteps on snow
Forest fire
Fox bark
Frog croak
Gecko chirp
Geyser erupting
Glacier groaning
Goose honk
Gorilla chest beat
Grass swish
Grasshopper chirp
Gravel crunching
Grizzly roar
Guinea pig squeak
Hail
Hawk screech
Hedgehog snuffle
Hen clucking
Hermit crab scuttle
Hippo bellow
Hornet buzz
Horse neigh
Howler monkey
Hummingbird wings
Hyena laugh
Ice cracking
Icicle dripping
Iguana rustling
Insect buzzing
Jackal howl
Jaguar growl
Jay screech
Jellyfish pulse
Katydid call
Kingfisher dive
Koala grunt
Lava bubbling
Leaves crunching
Lemur call
Leopard snarl
Lion roar
Lizard scurry
Locust swarm
Loon call
Lynx hiss
Magpie chatter
Mole digging
Monkey screech
Moose call
Morning bird song
Mosquito whine
Mountain echo
Mountain goat bleat
Mountain stream
Mouse squeak
Mud squelch
Nightingale song
Ocean wave
Ocelot call
Orca whale call
Osprey cry
Otter splash
Owl hoot
Panther growl
Parrot squawk
Peacock call
Pebbles clacking
Pelican dive
Penguin call
Pheasant call
Pig oink
Pigeon coo
Pine cone falling
Porcupine quill rattle
Prairie dog bark
Quail call
Rabbit thumping
Raccoon chitter
Raindrop
Rainstorm
Ram head butt
Raven croak
Rhino charge
River rapids
River stream
Robin song
Rooster crow
Running water
Rustling (leaves)
Salmon jumping
Sand shifting
Sandpiper call
Scorpion scuttle
Sea lion bark
Seagull squawk
Seal bark
Sheep bleat
Shore waves
Sleet
Sloth rustling
Snail trail
Snake hiss
Snow crunching
Sparrow chirp
Spider web vibrating
Splash
Squirrel chatter
Stag beetle click
Starling murmuration
Stingray swoosh
Storm surge
Swamp bubbling
Swan honk
Termite munching
Thorn scratching
Thunderclap
Tide pool gurgle
Tiger growl
Toad croak
Toucan call
Tree frog peep
Turkey gobble
Turtle shell tap
Twig cracking
Viper strike
Volcano roar
Vulture call
Walrus bellow
Wasp buzz
Water buffalo snort
Waterfall
Waves crashing
Whale breaching
Whale song
Whippoorwill call
Whistle (wind)
Wild boar grunt
Wildebeest stampede
Wind
Wind gust
Wolf howl
Woodpecker drumming
Worm wriggling
Yak grunt
Zebra bray
