category,word
Action,Arm wrestling
Action,Balancing
Action,Biting
Action,Bouncing
Action,Braiding
Action,Breathing heavily
Action,Brushing teeth
Action,Bubbling
Action,Burping
Action,Cannonball splash
Action,Catching
Action,Chewing
Action,Chopping
Action,Clicking
Action,Clinking glasses
Action,Clucking tongue
Action,Coughing
Action,Cracking knuckles
Action,Crawling
Action,Crumpling paper
Action,Crushing a can
Action,Crying
Action,Dancing
Action,Dicing
Action,Digging
Action,Dipping
Action,Dragging
Action,Dribbling
Action,Drilling
Action,Dropping
Action,Drumming
Action,Dusting
Action,Eating chips
Action,Fanning
Action,Finger painting
Action,Flicking
Action,Flipping a coin
Action,Flipping pages
Action,Flossing
Action,Folding
Action,Galloping
Action,Gargling
Action,Gasping
Action,Grating cheese
Action,Grinding
Action,Groaning
Action,Growling
Action,Grunting
Action,Gulping
Action,Hammering
Action,Head banging
Action,Hiccupping
Action,High fiving
Action,Hopping
Action,Hula hooping
Action,Humming
Action,Hushing
Action,Inflating
Action,Ironing
Action,Jogging
Action,Juggling
Action,Jumping
Action,Karate chopping
Action,Kicking
Action,Kneading dough
Action,Kneeling
Action,Knocking
Action,Lacing shoes
Action,Laughing
Action,Leaping
Action,Licking
Action,Lifting weights
Action,Limping
Action,Marching
Action,Massaging
Action,Miming
Action,Moaning
Action,Mopping
Action,Mumbling
Action,Nibbling
Action,Nodding
Action,Opening a can
Action,Painting
Action,Panting
Action,Patting
Action,Pedaling
Action,Peeling
Action,Picking
Action,Pinching
Action,Plucking
Action,Plunging
Action,Pointing
Action,Polishing
Action,Popping
Action,Pouring
Action,Praying
Action,Pressing buttons
Action,Pulling
Action,Pumping
Action,Punching
Action,Pushing
Action,Putting on gloves
Action,Racing
Action,Raking
Action,Reaching
Action,Rinsing
Action,Ripping
Action,Rocking
Action,Rolling
Action,Rolling dice
Action,Rowing
Action,Rubbing hands
Action,Running
Action,Saluting
Action,Sanding
Action,Sawing
Action,Scratching
Action,Scribbling
Action,Scrubbing
Action,Shaking
Action,Sharpening
Action,Shaving
Action,Shivering
Action,Shoveling
Action,Shredding
Action,Shuffling
Action,Shushing
Action,Sighing
Action,Singing
Action,Sipping
Action,Skipping
Action,Slamming
Action,Slapping
Action,Slicing
Action,Sliding
Action,Smacking lips
Action,Smashing
Action,Smelling
Action,Snapping
Action,Sneezing
Action,Sniffing
Action,Snoring
Action,Sobbing
Action,Spinning
Action,Spitting
Action,Splashing
Action,Spraying
Action,Squatting
Action,Squeezing
Action,Stacking
Action,Stamping
Action,Standing up
Action,Staring
Action,Stepping
Action,Stirring
Action,Stitching
Action,Stomping
Action,Stretching
Action,Strumming
Action,Stumbling
Action,Sucking
Action,Surfing
Action,Swallowing
Action,Swaying
Action,Sweeping
Action,Swimming
Action,Swinging
Action,Tapping
Action,Tearing
Action,Throwing
Action,Tickling
Action,Tiptoeing
Action,Tossing
Action,Tripping
Action,Trotting
Action,Tucking
Action,Tumbling
Action,Turning
Action,Twirling
Action,Twisting
Action,Typing
Action,Uncorking
Action,Unwrapping
Action,Vacuuming
Action,Vaulting
Action,Wadding
Action,Waddling
Action,Walking
Action,Waving
Action,Weaving
Action,Wheezing
Action,Whimpering
Action,Whipping
Action,Whispering
Action,Whistling
Action,Wiggling
Action,Winding up
Action,Winking
Action,Wiping
Action,Wrapping
Action,Wringing
Action,Writing
Action,Yanking
Action,Yawning
Action,Yelping
Action,Yo-yoing
Action,Zipping
Incident,Aftershock
Incident,Air raid
Incident,Alarm
Incident,Ambush
Incident,Arson
Incident,Attack
Incident,Avalanche
Incident,Bank heist
Incident,Barricade
Incident,Battle cry
Incident,Blackout
Incident,Blaze
Incident,Blizzard
Incident,Blowout
Incident,Boating accident
Incident,Bomb scare
Incident,Bomb squad
Incident,Break-in
Incident,Bridge collapse
Incident,Building fire
Incident,Burglary
Incident,Burning rubber
Incident,Burst
Incident,Car alarm
Incident,Car chase
Incident,Car crash
Incident,Carjacking
Incident,Cave-in
Incident,Chaos
Incident,Chemical spill
Incident,Code red
Incident,Collapse
Incident,Collision
Incident,Commotion
Incident,Construction accident
Incident,Contamination
Incident,Counter attack
Incident,Crack
Incident,Crash
Incident,Crossfire
Incident,Cyclone
Incident,Danger zone
Incident,Debris falling
Incident,Demolition
Incident,Derailment
Incident,Detonation
Incident,Disaster
Incident,Distress
Incident,Disturbance
Incident,Downed power line
Incident,Drive-by
Incident,Drought
Incident,Dust storm
Incident,Earthquake
Incident,Electrocution
Incident,Emergency
Incident,Emergency brake
Incident,Emergency landing
Incident,Entrapment
Incident,Eruption
Incident,Escape
Incident,Evacuation
Incident,Explosion
Incident,Fall
Incident,Famine
Incident,Fight
Incident,Fire alarm
Incident,Fire drill
Incident,Fire escape
Incident,Fire truck
Incident,Flat tire
Incident,Flood
Incident,Foul play
Incident,Fracture
Incident,Freefall
Incident,Frostbite
Incident,Fugitive
Incident,Gas leak
Incident,Getaway
Incident,Glass shattering
Incident,Gridlock
Incident,Gunshot
Incident,Hailstorm
Incident,Hazard
Incident,Head-on collision
Incident,Heart attack
Incident,Heat stroke
Incident,Heat wave
Incident,Highway pileup
Incident,Hit and run
Incident,Hold up
Incident,Home invasion
Incident,Hostage
Incident,House fire
Incident,Hunt
