90s - 2000s
Abstract - Concrete
Abstract - Literal
Accepting - Judging
Active - Lazy
Active - Passive
Alive - Dead
Alive - Inanimate
Alive - Robotic
Ancient - Futuristic
Art - Science
Authentic - Pretentious
Awake - Asleep
Bad habit - Good habit
Bad pizza topping - Good pizza topping
Balanced - Off-kilter
Basic - Fancy
Believer - Skeptic
Big - Small
Bitter - Sweet
Brave - Cowardly
Bright - Bleak
Bright - Dim
Bright - Gloomy
Bright - Muted
Bright - Shadowy
Calm - Chaotic
Caring - Harsh
Cautious - Reckless
Center - Edge
Centered - Off-balance
Certain - Doubtful
Certain - Uncertain
Chaotic - Disciplined
Cheap - Expensive
Childlike - Mature
Civilized - Primitive
Classic - Trendy
Classy - Trashy
Clean - Dirty
Clear - Confusing
Cluttered - Minimalist
Colorful - Monochrome
Comedic - Tragic
Common - Rare
Complex - Straightforward
Composed - Panicked
Confident - Insecure
Conservative - Liberal
Cool - Warm
Cozy - Spacious
Cozy - Sterile
Cultural - Commercial
Curious - Apathetic
Curious - Indifferent
Curvy - Straight
Daring - Reserved
Day - Night
Deep - Shallow
Deep - Superficial
Dense - Sparse
Dense - Thin
Digital - Analog
Direct - Indirect
Distant - Intimate
Domestic - Foreign
Domestic - Wild
Driven - Apathetic
Dry - Moist
Easy - Difficult
Easygoing - Controlling
Effortless - Struggling
Energetic - Tired
Ethical - Corrupt
Exaggerated - Understated
Fact - Opinion
Familiar - Alien
Familiar - Exotic
Familiar - Strange
Fantasy - Reality
Fast - Eternal
Fast - Slow
Fiction - Nonfiction
Fictional - Historical
Fierce - Gentle
Flat - Textured
Flexible - Inflexible
Flexible - Rigid
Flowing - Blocked
Fluid - Rigid
Focused - Chaotic
Focused - Distracted
Focused - Scatterbrained
Focused - Vague
Focused - Wandering
Forgiving - Unforgiving
Forgiving - Vengeful
Formal - Casual
Fragile - Tough
Free - Obligated
Free - Trapped
Fresh - Moldy
Fresh - Rotten
Fresh - Stale
Friendly - Cold
Friendly - Hostile
Full - Empty
Generational - Timeless
Generous - Greedy
Generous - Stingy
Grateful - Entitled
Guilty pleasure - Openly love
Hairless - Hairy
Happy - Sad
Hard - Soft
Hardworking - Carefree
Healthy - Sick
Heavy - Floating
Heavy - Light
Heavy - Weightless
Heroic - Villainous
High-tech - Low-tech
Historically important - Historically irrelevant
Honest - Deceptive
Honest - Disguised
Honest - Manipulative
Honest - Sneaky
Hopeful - Hopeless
Humble - Arrogant
Humid - Dry
Icy - Boiling
Impulsive - Calculated
Inclusive - Exclusive
Independent - Dependent
Inspiring - Discouraging
Interesting - Boring
Introvert - Extrovert
Inviting - Intimidating
Joyful - Miserable
Known - Unknown
Legal - Forbidden
Legal - Illegal
Light - Dark
Light - Heavy
Lively - Dull
Local - Global
Logic - Emotion
Logic - Instinct
Logical - Emotional
Loud - Mute
Loud - Soft
Loud - Still
Loud - Whispered
Love - Hate
Luck - Skill
Lush - Barren
Magical - Mundane
Mainstream - Underground
Manual - Automatic
Masculine - Androgynous
Masculine - Delicate
Masculine - Feminine
Mature - Immature
Mindful - Mindless
Minimal - Maximal
Modern - Ancient
Modern - Classic
Modest - Showy
Naive - Worldly
Natural - Artificial
Natural - Synthetic
Nature - Nurture
Noisy - Silent
Normal - Weird
Obvious - Subtle
Open - Closed
Open - Guarded
Open - Sealed
Open-minded - Closed-minded
Optimistic - Cynical
Optimistic - Pessimistic
Order - Chaos
Orderly - Disordered
Organic - Manufactured
Organized - Messy
Passive - Aggressive
Perfect - Flawed
Permanent - Fleeting
Permanent - Replaceable
Permanent - Temporary
Playful - Serious
Playful - Stern
Polished - Raw
Polite - Brash
Polite - Rude
Popular - Obscure
Popular - Unpopular
Practical - Dreamy
Practical - Impractical
Practical - Theoretical
Practical - Whimsical
Predictable - Erratic
Predictable - Surprising
Predictable - Unpredictable
Private - Public
Private - Social
Professional - Amateur
Proud - Ashamed
Public - Hidden
Public - Private
Purposeful - Aimless
Quiet - Chaotic
Quiet - Explosive
Quiet - Loud
Quiet - Talkative
