word,long
Abandon, ship abandon
Achievement, academic achievement
Action, action hero
Action-packed, action-packed movie
Activity, outdoor activity
Activity, physical activity
Actor, lead actor
Actor, leading actor
Actress, supporting actress
Adaptation, literary adaptation
Address, home address
Advantage, competitive advantage
Adventure, adventure game
Adventure, adventure trip
Adventure, hiking adventure
Adventure, thrilling adventure
Advertising, online advertising
Age, ice age
Agency, travel agency
Agenda, hidden agenda
Agreement, mutual agreement
Agreement, peace agreement
Agriculture, sustainable agriculture
Aid, financial aid
Aim, primary aim
Air, air conditioner
Alarm, fire alarm
Album, debut album
Album, photo album
Alley, bowling alley
Alley, service alley
Alphabet, Greek alphabet
Ambassador, UN ambassador
Ambassador, goodwill ambassador
Ambition, personal ambition
Amendment, constitutional amendment
Amusement, amusement park
Amusement, family amusement
Analysis, data analysis
Anchor, anchor point
Anchor, anchorpoint
Anchor, boat anchor
Anchor, heavy anchor
Angel, angel wings
Angle, right angle
Animal, animal shelter
Animation, animated movie
Anniversary, wedding anniversary
Announcement, official announcement
Answer, correct answer
Ant, ant hill
Ant, anthill
Ant, worker ant
Anticipation, eager anticipation
Apartment, apartment building
Apology, heartfelt apology
Appearance, physical appearance
Apple, apple pie
Appliance, kitchen appliance
Application, job application
Application, software application
Appointment, doctor's appointment
Approach, balanced approach
Approval, final approval
Approval, formal approval
Area, urban area
Argument, convincing argument
Argument, heated argument
Arm, arm chair
Arrangement, floral arrangement
Arrow, arrow key
Art, abstract art
Article, news article
Artist, makeup artist
Artist, street artist
Aspect, cultural aspect
Aspect, key aspect
Assembly, school assembly
Assessment, risk assessment
Assignment, homework assignment
Assignment, project assignment
Assistant, executive assistant
Assistant, personal assistant
Association, professional association
Athlete, professional athlete
Atmosphere, Earth's atmosphere
Atmosphere, festive atmosphere
Atmosphere, relaxed atmosphere
Attack, surprise attack
Attack, verbal attack
Attempt, rescue attempt
Attitude, positive attitude
Attorney, defense attorney
Attraction, tourist attraction
Attribute, key attribute
Audience, captivated audience
Audience, global audience
Audience, live audience
Audience, target audience
Author, best-selling author
Author, famous author
Author, prolific author
Authority, local authority
Autobiography, inspiring autobiography
Automation, industrial automation
Autumn, autumn leaves
Autumn, autumnal
Autumn, crisp autumn
Avalanche, snow avalanche
Avenue, Fifth Avenue
Average, class average
Award, Nobel Prize award
Award, achievement award
Award, prestigious award
Awareness, environmental awareness
Awareness, health awareness
Awareness, public awareness
Babysitter, neighborhood babysitter
Babysitter, professional babysitter
Backpack, hiking backpack
Backpack, leather backpack
Backpack, school backpack
Bag, bag pack
Bag, gym bag
Bagel, sesame bagel
Bakery, local bakery
Balcony, apartment balcony
Ball, soccer ball
Balloon, helium balloon
Band, rock band
Bandage, adhesive bandage
Bank, river bank
Banner, birthday banner
Bar, snack bar
Barbecue, backyard barbecue
Barber, barber shop
Barn, red barn
Basketball, indoor basketball
Bat, baseball bat
Beach, beach ball
Beach, beach house
Beach, beachfront
Beach, sandy beach
Bear, bear cub
Bear, bearhug
Bear, grizzly bear
Bear, teddy bear
Bed, bunk bed
Bedspread, new bedspread
Bedspread, quilted bedspread
Bee, bee sting
Bee, beehive
Bee, honey bee
Bell, school bell
Belt, leather belt
Bench, park bench
Beverage, alcoholic beverage
Beverage, cold beverage
Bike, bike path
Bike, bike ride
Bike, mountain bike
Bill, electric bill
Billboard, digital billboard
Billboard, highway billboard
Bird, bird cage
Bird, bird feeder
Bird, bird song
Bird, birdhouse
Bird, migratory bird
Biscuit, breakfast biscuit
Blackberry, fresh blackberry
Blackboard, digital blackboard
Blackboard, school blackboard
Blanket, electric blanket
Blanket, warm blanket
Block, toy block
Blockbuster, summer blockbuster
Blueprint, architectural blueprint
Blueprint, detailed blueprint
Board, surf board
Boat, boat dock
Boat, boat house
Boat, boat ride
Boat, boathouse
Boat, fishing boat
Book, book club
Book, book store
Book, library book
Bookmark, digital bookmark
Bookmark, online bookmark
Boot, hiking boot
Bottle, water bottle
Bowl, mixing bowl
Bowling, bowling alley
Box office, blockbuster box office
Box, cardboard box
Boyfriend, ex boyfriend
Boyfriend, new boyfriend
Bracelet, charm bracelet
Brain, human brain
Branch, bank branch
Branch, tree branch
Bread, bread crumb
Bread, whole wheat bread
Break, lunch break
Breast, chicken breast
Breeze, ocean breeze
Brick, red brick
Bridge, suspension bridge
Brief, news brief
Brisket, smoked brisket
Broccoli, steamed broccoli
Brochure, travel brochure
Brother, younger brother
Brush, paint brush
Bubble, soap bubble
Bucket, water bucket
Budget, annual budget
Buffet, dinner buffet
Bug, lady bug
Builder, home builder
Bulb, light bulb
Bull, bull fight
Bulldog, French bulldog
Bulletin, bulletin board
Bump, speed bump
Bungalow, beach bungalow
Bunk, bunk bed
Bunny, Easter bunny
Burger, veggie burger
Burn, sun burn
Burrito, breakfast burrito
Bus, bus stop
Bus, school bus
Bush, rose bush
Business, small business
Butterfly, butterfly effect
Butterfly, butterfly wing
Butterfly, butterflyfish
Butterfly, monarch butterfly
Button, control button
Button, power button
Button, reset button
Buzz, morning buzz
Cake, birthday cake
Cake, wedding cake
Cameo, surprise cameo
Camera, digital camera
Camp, summer camp
Candle, candle light
Candy, candy cane
Capital, state capital
Car, car accident
Car, car rental
Car, car wash
Card, credit card
Card, greeting card
Carrot, carrot cake
Cash, cash flow
Cast, ensemble cast
Castle, medieval castle
Cat, cat food
Cat, cat litter
Cat, catfish
Cat, domestic cat
Cave, cave painting
Cave, caveman
Cave, limestone cave
Chain, bicycle chain
Chair, chair leg
Chair, rocking chair
Challenge, fitness challenge
Champion, defending champion
Chance, second chance
Character, memorable character
Charity, local charity
Chase, police chase
Chat, group chat
Check, background check
Cheese, cheddar cheese
Chef, master chef
Chess, chess board
Chest, treasure chest
Chicken, chicken soup
Child, child care
Chocolate, chocolate bar
Choice, healthy choice
Church, church bell
Cinema, classic cinema
Cinema, home cinema
Cinematography, breathtaking cinematography
Circle, social circle
Circuit, electric circuit
Citizen, model citizen
City, capital city
City, city bus
City, city park
Claim, insurance claim
Clam, clam bake
Clam, clamshell
Clam, hard clam
Clarity, crystal clarity
Class, fitness class
Class, yoga class
Classroom, virtual classroom
Cliff, cliff edge
Cliff, cliffhanger
Cliff, steep cliff
Climate, tropical climate
Clock, alarm clock
Cloud, cloud computing
Cloud, cloud cover
Cloud, cloudburst
Cloud, fluffy cloud
Clue, murder mystery clue
Coach, head coach
Coach, personal coach
Coast, coast guard
Coast, coastguard
Coast, rocky coast
Coffee, coffee cup
Coffee, coffee shop
Collaboration, creative collaboration
Collection, art collection
Colony, ant colony
Colony, bee colony
Color, primary color
Combination, safe combination
Comedy, hilarious comedy
Comedy, stand-up comedy
Comet, comet trail
Comet, cometary
Comet, icy comet
Community, local community
Company, software company
Computer, computer game
Computer, computer screen
Computer, desktop computer
Concert, rock concert
Conference, business conference
Conference, press conference
Conflict, armed conflict
Connection, wireless connection
Content, digital content
Control, remote control
Cookbook, family cookbook
Cookie, chocolate chip cookie
Coral, brain coral
Coral, coral reef
Coral, coralreef
Corner, corner store
Corner, street corner
Cost, living cost
Costume, Halloween costume
Costume, elaborate costume
Costume, stage costume
Country, country music
Country, rural country
Course, golf course
Course, online course
Cousin, first cousin
Cover, book cover
Cow, cow bell
Cow, cowboy
Cow, dairy cow
Crab, blue crab
Crab, crab apple
Crab, crab cake
Crab, crabapple
Creature, mythical creature
Credit, credit score
Crew, flight crew
Crowd, large crowd
Crown, golden crown
Cruise, river cruise
Culture, corporate culture
Culture, pop culture
Cup, coffee cup
Cup, measuring cup
Current, current event
Current, currentflow
Current, ocean current
Curtain, shower curtain
Curtain, window curtain
Cushion, seat cushion
Customer, loyal customer
Customer, new customer
Cycle, business cycle
Cycle, life cycle
Dairy, dairy farm
Dance, dance party
Darkness, total darkness
Data, data center
Database, relational database
Day, rainy day
Dealer, car dealer
Debate, political debate
Decade, past decade
Decision, final decision
Definition, clear definition
Degree, college degree
Delay, flight delay
Delivery, express delivery
Demand, high demand
Den, lion's den
Density, low density
Depth, ocean depth
Desert, arid desert
Desert, desert storm
Desert, dessert
Design, graphic design
Design, web design
Desire, burning desire
Desire, strong desire
Desk, computer desk
Desk, office desk
Desk, writing desk
Dessert, dessert menu
Destiny, manifest destiny
Detail, fine detail
Detective, private detective
Detour, road detour
Development, economic development
Device, mobile device
Dialogue, friendly dialogue
Dialogue, inner dialogue
Dialogue, open dialogue
Dialogue, witty dialogue
Diamond, diamond ring
Diary, personal diary
Diary, secret diary
Difference, big difference
Difficulty, learning difficulty
Difficulty, technical difficulty
Dimension, new dimension
Dinner, dinner plate
Dinosaur, fossil dinosaur
Direction, right direction
Director, film director
Director, visionary director
Dirt, dirt road
Discipline, self discipline
Discount, bulk discount
Discount, seasonal discount
Discovery, new discovery
Discovery, scientific discovery
Discussion, group discussion
Disease, chronic disease
Dish, dish soap
Dish, satellite dish
Display, digital display
Distance, long distance
Distance, walking distance
Distribution, even distribution
Distribution, normal distribution
Division, corporate division
Division, sales division
Doctor, family doctor
Document, historical document
Document, important document
Document, legal document
Dog, dog collar
Dog, dog house
Dog, dog leash
Dog, dog park
Dog, doghouse
Dog, guide dog
Dollar, dollar bill
Dolphin, bottlenose dolphin
Dolphin, dolphin show
Dolphin, dolphinarium
Donation, blood donation
Donor, organ donor
Donut, glazed donut
Door, door bell
Door, door knob
Doorway, narrow doorway
Doubt, reasonable doubt
Draft, first draft
Draft, military draft
Draft, rough draft
Dragon, fire dragon
Dragonfly, blue dragonfly
Dragonfly, dragon fly
Dragonfly, dragonfly
Dragonfly, dragonfly wing
Drama, high drama
Drama, intense drama
Drawer, top drawer
Dream, dream job
Dream, lucid dream
Dress, evening dress
Dress, summer dress
Drink, soft drink
Drive, road drive
Drive, scenic drive
Driver, race car driver
Drop, water drop
Drum, drum set
Duck, rubber duck
Dune, sand dune
Duration, average duration
Duty, civic duty
Dynasty, ancient dynasty
Eagle, bald eagle
Earn, earn money
Earring, diamond earring
Earth, earth day
Earth, earth science
Earth, earthquake
Earth, fertile earth
Ease, ease of use
Easel, painting easel
East, East Coast
Echo, echo chamber
Echo, echo location
Economy, global economy
Edge, cutting edge
Edit, edit button
Editing, seamless editing
Education, education reform
Education, higher education
Effect, ripple effect
Effect, sound effect
Effects, special effects
Effort, team effort
Effort, volunteer effort
Egg, egg carton
Eight, eight ball
Elbow, elbow joint
Elder, elder care
Election, election results
Election, presidential election
Element, periodic element
Element, trace element
Elephant, African elephant
Elephant, elephant seal
Elephant, elephant tusk
Elephant, elephantine
Elevator, glass elevator
Elevator, service elevator
Email, email address
Email, email notification
Embrace, warm embrace
Emergency, emergency exit
Emotion, mixed emotion
Emotion, strong emotion
Empire, Ottoman Empire
Empire, ancient empire
Employee, new employee
Employer, employer benefits
Employment, full employment
End, end game
Ending, unexpected ending
Enemy, common enemy
Enemy, sworn enemy
Energy, nuclear energy
Energy, renewable energy
Engine, car engine
Engine, search engine
