word,long
Abandon, ship abandon
Acceptance, acceptance speech
Acceptance, cultural acceptance
Acceptance, self-acceptance
Achievement, academic achievement
Action, action hero
Action-packed, action-packed movie
Activity, outdoor activity
Activity, physical activity
Actor, lead actor
Actor, leading actor
Actress, supporting actress
Adaptation, literary adaptation
Address, home address
Advantage, competitive advantage
Adventure, adventure game
Adventure, adventure trip
Adventure, hiking adventure
Adventure, thrilling adventure
Advertising, online advertising
Age, ice age
Agency, travel agency
Agenda, hidden agenda
Agreement, mutual agreement
Agreement, peace agreement
Agriculture, sustainable agriculture
Aid, financial aid
Aim, primary aim
Air, air conditioner
Alarm, fire alarm
Album, debut album
Album, photo album
Alley, bowling alley
Alley, service alley
Alphabet, Greek alphabet
Ambassador, UN ambassador
Ambassador, goodwill ambassador
Ambition, personal ambition
Ambition, relentless ambition
Ambivalence, emotional ambivalence
Amendment, constitutional amendment
Amusement, amusement park
Amusement, family amusement
Analysis, data analysis
Anchor, anchor point
Anchor, anchorpoint
Anchor, boat anchor
Anchor, heavy anchor
Angel, angel wings
Anger, anger management
Angle, right angle
Animal, animal shelter
Anniversary, wedding anniversary
Announcement, official announcement
Answer, correct answer
Ant, ant hill
Ant, anthill
Ant, worker ant
Anticipation, anticipation building
Anticipation, eager anticipation
Apartment, apartment building
Apology, heartfelt apology
Appearance, physical appearance
Apple, apple pie
Appliance, kitchen appliance
Application, job application
Application, software application
Appointment, doctor's appointment
Appreciation, appreciation letter
Approach, balanced approach
Approval, final approval
Approval, formal approval
Area, urban area
Argument, convincing argument
Argument, heated argument
Arm, arm chair
Arm, armchair
Arrangement, floral arrangement
Arrow, arrow key
Art, abstract art
Article, news article
Artist, makeup artist
Artist, street artist
Aspect, cultural aspect
Aspect, key aspect
Assembly, school assembly
Assessment, risk assessment
Assignment, homework assignment
Assignment, project assignment
Assistant, executive assistant
Assistant, personal assistant
Association, professional association
Athlete, professional athlete
Atmosphere, Earth's atmosphere
Atmosphere, festive atmosphere
Atmosphere, relaxed atmosphere
Attachment, emotional attachment
Attachment, secure attachment
Attack, surprise attack
Attack, verbal attack
Attempt, rescue attempt
Attention, attention span
Attitude, positive attitude
Attorney, defense attorney
Attraction, tourist attraction
Attribute, key attribute
Audience, captivated audience
Audience, global audience
Audience, live audience
Audience, target audience
Authenticity, authenticity challenge
Author, best-selling author
Author, famous author
Author, prolific author
Authority, local authority
Autobiography, inspiring autobiography
Automation, industrial automation
Autumn, autumn leaves
Autumn, autumnal
Autumn, crisp autumn
Avalanche, snow avalanche
Avenue, Fifth Avenue
Average, class average
Award, Nobel Prize award
Award, achievement award
Award, prestigious award
Awareness, awareness practice
Awareness, environmental awareness
Awareness, health awareness
Awareness, public awareness
Awareness, self-awareness
Awareness, situational awareness
Babysitter, neighborhood babysitter
Babysitter, professional babysitter
Backpack, hiking backpack
Backpack, leather backpack
Backpack, school backpack
Bag, bag pack
Bag, gym bag
Bag, shopping bag
